Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8
14,53,82,53,80,46,54,24
23,72,11,83,51,72,78,24
76,14,82,19,24,95,51,65
99,93,89,37,75,79,31,17
39,57,4,24,27,59,52,41
31,29,50,41,64,68,37,21
42,84,84,1,79,66,50,21
92,68,85,66,14,64,53,73
19,46,22,21,35,56,25,50
6,47,9,97,35,32,39,60
86,90,18,89,95,4,1,50
37,39,86,73,30,36,12,85
29,52,76,18,14,6,91,21
71,30,36,71,55,17,92,92
10,11,17,69,58,20,23,50
24,81,19,23,31,70,78,53
50,5,92,74,46,36,1,93
1,74,10,7,69,48,16,73
85,54,64,29,81,52,69,49
36,16,43,19,72,98,66,43
12,68,95,58,53,78,93,68
93,8,84,36,61,54,2,75
82,99,83,59,78,74,64,7
66,82,85,5,8,28,40,38
85,89,85,71,55,37,54,38
16,31,91,69,21,43,21,94
23,77,5,19,92,48,67,19
76,74,83,22,89,61,20,2
43,73,72,86,82,14,16,27
56,48,86,59,15,67,77,77
2,70,6,25,46,55,77,69
44,79,45,71,4,52,15,59
63,74,14,25,95,62,17,73
74,71,60,58,88,26,84,63
50,37,96,47,74,57,82,88
32,55,80,88,49,59,76,52
4,91,20,94,65,90,97,13
34,36,16,92,29,97,36,93
13,90,19,88,35,56,42,67
87,11,65,50,25,61,78,40
19,69,97,98,64,49,15,49
94,83,54,16,16,38,39,21
60,95,29,93,87,52,93,67
32,81,43,49,13,98,34,5
93,89,91,9,11,9,66,26
68,99,51,75,13,10,61,61
57,5,69,83,47,92,4,4
92,4,7,49,36,63,98,63
89,46,14,76,18,22,27,87
66,34,69,46,80,9,69,22
34,37,15,37,64,49,71,91
67,11,43,78,32,32,88,63
98,17,51,96,88,47,39,36
88,70,1,18,64,48,22,65
10,81,73,58,53,84,31,10
65,26,22,40,85,98,83,98
64,8,27,41,73,21,7,77
57,10,63,41,51,11,50,4
46,79,77,18,81,21,85,35
42,12,86,38,50,3,47,43
69,56,52,93,86,59,93,18
84,93,75,80,43,16,92,7
34,20,44,64,16,73,87,35
51,43,24,68,88,91,74,95
54,39,31,64,69,26,77,68
77,36,51,67,50,71,83,31
54,69,5,86,54,83,50,98
1,80,4,16,78,23,56,4
75,83,57,21,58,18,22,10
5,49,40,5,16,17,10,30
32,1,78,49,27,62,98,11
45,54,43,33,25,53,49,46
44,42,50,37,60,48,90,19
37,51,98,13,79,74,55,23
13,81,4,81,8,83,20,63
39,80,36,23,32,76,6,45
89,72,11,80,38,28,88,67
63,73,38,75,22,24,57,73
50,17,89,30,2,82,59,86
32,28,19,29,36,66,19,59
51,84,90,27,59,16,7,39
75,65,51,75,10,1,38,17
71,71,84,1,50,79,21,99
47,72,96,38,42,41,28,36
59,89,41,67,3,14,58,21
72,19,15,92,9,42,87,13
15,13,44,25,62,44,99,25
98,75,41,40,84,56,8,89
97,24,18,50,13,25,94,97
13,54,87,94,12,53,47,27
27,4,19,13,94,34,39,43
19,41,25,40,5,23,12,40
29,75,79,72,18,32,78,6
93,31,63,94,84,49,28,47
80,48,37,68,14,18,68,35
32,38,19,4,42,20,51,61
43,7,72,6,56,6,64,90
36,89,37,79,48,11,40,71
77,8,62,43,71,43,85,55
57,54,33,65,67,7,75,42
25,67,92,97,76,44,99,47
17,1,14,20,12,24,9,78
19,64,82,49,76,7,78,91
90,41,97,16,12,47,77,72
57,89,59,35,49,82,65,72
15,54,41,21,82,33,6,97
15,38,32,7,10,57,45,26
91,79,86,94,89,67,94,94
76,12,45,44,50,79,13,72
40,39,8,12,3,33,42,30
42,61,58,65,61,55,69,89
19,25,67,95,60,62,24,22
17,16,83,91,38,22,24,80
44,94,83,11,4,73,51,28
1,17,1,58,98,82,29,25
74,19,28,57,17,58,7,18
22,59,64,28,34,11,53,73
87,84,7,9,55,7,96,11
57,5,66,58,74,84,13,58
67,94,36,37,46,97,24,33
60,13,49,19,54,50,74,89
25,17,75,20,68,67,54,41
72,57,45,34,56,44,8,53
10,7,81,85,30,77,39,34
12,31,93,32,22,41,14,51
40,16,2,66,73,98,47,39
94,46,96,91,62,74,42,22
74,97,6,11,22,82,40,74
43,43,38,78,17,98,73,86
90,39,18,94,82,68,71,78
77,85,35,65,41,35,48,5
27,9,51,5,21,16,96,54
46,79,74,34,70,84,83,83
43,64,52,79,58,22,47,82
45,13,37,39,31,95,57,3
22,32,19,47,58,72,63,58
69,33,3,93,77,75,91,29
90,7,93,97,17,87,30,43
60,35,30,40,70,64,11,44
8,25,62,32,40,15,28,1
12,58,83,38,5,41,95,31
89,79,1,66,2,21,16,79
67,28,42,18,57,1,66,13
87,10,17,97,50,95,38,23
12,43,9,16,94,31,25,11
80,46,56,45,31,45,58,92
56,46,58,41,59,38,12,53
50,92,73,21,73,15,57,30
71,61,80,79,12,34,69,24
78,35,61,80,5,65,67,75
5,5,94,44,23,24,14,38
62,33,29,38,87,52,39,57
52,90,20,12,19,55,55,50
36,22,38,76,5,75,65,39
1,33,97,32,66,34,97,87
8,17,73,53,40,77,77,36
44,80,95,65,16,57,40,55
88,18,57,37,96,89,88,90
17,36,74,44,93,83,51,52
35,59,77,91,7,23,25,92
63,61,27,85,37,92,60,88
69,50,26,92,76,19,42,79
23,99,56,67,7,68,66,88
35,59,85,20,29,54,43,48
42,53,23,97,23,45,96,19
23,15,58,21,82,61,20,15
90,55,51,76,64,55,87,78
34,78,95,30,69,28,27,91
94,3,60,77,59,6,66,19
39,91,68,64,22,87,10,12
63,72,15,76,9,42,59,56
54,21,78,58,46,41,97,10
86,73,52,82,43,44,21,88
89,79,59,96,20,18,55,73
23,95,19,74,36,85,32,89
59,76,52,95,10,37,90,8
52,64,4,28,68,51,96,32
30,66,55,40,30,97,17,97
12,27,74,30,47,89,2,66
13,77,4,40,89,18,56,16
67,26,50,66,65,65,20,6
5,99,83,84,13,50,91,81
25,77,77,4,18,64,88,56
22,35,13,58,65,49,12,43
60,92,75,13,16,10,19,67
19,9,10,76,33,45,9,99
63,28,13,89,90,47,60,29
28,6,58,26,19,52,59,88
46,94,10,61,77,38,68,7
91,36,32,88,35,34,90,92
98,57,13,50,68,30,18,8
5,59,81,43,81,19,77,43
63,29,11,95,76,9,61,98
95,84,9,71,11,75,90,27
55,79,97,34,90,72,62,86
9,75,21,36,63,86,13,80
84,55,25,88,24,34,64,61
86,38,82,73,10,5,95,59
76,85,49,2,40,3,10,62
71,63,36,54,34,16,23,95
9,64,10,2,67,96,95,2
45,99,31,32,30,20,93,32
75,60,22,82,3,64,67,82
67,27,24,69,13,2,54,30
48,52,41,4,44,94,68,94
95,53,97,18,23,49,4,93
66,32,72,79,95,37,27,29
97,22,90,29,50,92,85,41
31,68,89,76,54,34,41,53
64,15,64,86,84,7,41,31
62,16,89,50,84,5,87,89
94,26,71,11,88,52,85,7
52,84,13,3,63,46,50,60
66,69,80,37,31,69,13,76
73,26,67,8,5,61,86,66
4,82,42,77,46,4,46,57
41,22,12,82,74,42,99,42
13,72,64,34,5,59,42,33
87,42,90,77,18,59,34,66
82,82,66,67,79,69,42,82
70,6,84,86,81,98,77,20
71,21,24,35,20,94,6,88
19,38,79,4,31,67,74,16
71,46,65,48,76,64,93,40
39,24,41,11,23,71,40,55
54,23,84,16,90,30,26,30
12,77,40,95,37,20,46,8
11,21,79,65,9,3,49,84
88,13,15,32,42,60,14,27
61,36,36,27,68,84,28,14
64,29,24,93,97,59,93,80
72,92,66,61,3,89,91,80
37,73,45,6,45,97,91,41
23,19,56,62,20,1,94,19
72,86,34,21,74,22,79,23
69,65,46,89,82,29,70,60
36,28,56,34,1,28,88,76
45,85,88,51,94,1,35,21
10,53,11,34,55,90,58,88
62,50,54,19,65,77,12,13
13,17,69,78,5,57,82,77
68,44,98,52,38,74,18,67
64,5,48,60,38,86,2,74
80,68,72,42,42,18,19,36
69,84,89,33,23,50,44,41
82,19,34,9,49,30,31,87
8,39,40,10,89,58,58,27
9,36,15,65,20,97,25,9
62,87,65,14,82,93,10,99
30,68,24,87,32,88,5,50
3,78,79,77,18,7,63,50
70,50,97,74,55,56,62,24
66,45,27,61,76,84,42,71
30,3,76,96,42,94,55,77
8,62,58,72,81,27,3,34
87,84,73,12,69,93,82,47
25,54,76,47,33,4,26,2
25,37,77,75,24,74,29,51
39,14,35,26,57,43,37,80
51,26,31,12,20,58,58,96
84,14,88,11,43,21,21,2
26,38,66,6,13,2,16,64
19,68,91,52,15,30,3,82
9,6,17,24,26,77,27,16
27,49,76,11,47,38,48,74
30,58,56,22,23,11,98,89
54,71,12,57,7,19,17,29
22,61,92,90,28,3,99,25
61,7,6,69,37,95,45,17
12,88,50,95,38,62,75,32
21,15,62,56,48,31,57,67
94,11,93,73,91,60,85,18
92,86,27,24,7,96,78,92
74,22,2,29,4,16,2,14
24,16,2,16,3,97,38,28
26,47,9,83,47,93,91,2
99,41,80,90,46,63,85,33
8,10,22,9,81,4,6,36
2,21,97,57,43,18,3,8
97,54,86,56,12,71,28,84
73,65,10,1,9,11,9,96
98,95,2,19,74,78,54,21
60,99,15,10,43,64,40,89
64,36,79,35,94,82,39,27
41,25,71,18,24,13,45,89
84,31,27,59,47,3,31,58
89,95,86,14,52,39,52,56
25,38,75,1,71,45,58,88
99,4,22,5,14,97,89,59
97,77,75,20,40,61,17,66
31,84,60,20,49,78,17,98
66,58,3,58,30,55,23,13
69,19,95,56,96,45,99,66
43,74,15,89,72,43,36,3
53,93,83,7,51,4,99,19
86,21,30,12,25,50,70,88
89,70,89,32,92,71,27,84
72,86,2,88,67,6,54,74
76,13,87,20,84,91,64,59
39,6,53,39,79,49,96,34
10,17,81,74,78,82,17,23
3,41,5,56,77,17,78,96
17,50,18,96,67,10,83,51
92,17,2,24,66,98,92,29
21,52,87,40,80,60,96,44
76,16,68,85,69,28,99,4
43,48,46,58,11,69,5,32
89,92,30,88,72,65,78,58
90,1,75,34,5,40,68,54
16,11,30,35,60,37,40,75
10,87,17,72,18,63,90,54
64,30,11,48,66,32,97,99
73,33,18,67,44,87,4,36
91,4,21,3,69,94,59,2
49,45,8,27,11,65,79,90
39,72,51,87,52,4,16,23
5,25,67,4,64,60,9,53
20,29,95,11,89,24,50,1
65,61,86,18,41,47,33,39
3,20,17,11,10,91,13,86
58,24,62,64,34,84,24,21
5,59,88,30,64,99,91,74
32,18,79,58,16,56,66,88
90,10,92,17,69,64,58,35
27,33,46,29,37,9,74,31
60,78,3,71,53,59,12,6
85,43,17,66,34,30,75,43
94,30,41,87,82,22,13,67
66,2,85,17,35,3,54,1
96,83,99,2,6,12,66,29
20,4,51,97,34,64,55,31
16,25,16,62,25,23,32,44
3,72,24,83,4,34,71,55
34,7,49,21,75,98,67,16
36,77,59,31,15,90,43,33
2,20,43,25,96,14,87,73
44,25,67,55,24,23,70,86
21,67,71,32,76,22,43,79
23,60,59,23,22,51,28,17
79,47,11,24,28,20,99,45
84,14,56,41,84,63,20,78
54,67,36,20,54,58,5,70
74,74,85,91,60,71,39,33
3,46,37,25,98,3,51,23
81,43,7,18,42,92,15,26
16,67,93,78,94,42,78,77
60,29,37,50,21,42,51,14
66,53,92,67,7,15,24,78
12,89,60,55,7,94,95,1
96,61,9,2,5,41,8,53
5,69,17,60,18,49,12,22
21,97,98,8,19,26,56,56
13,94,70,96,65,55,96,97
72,67,66,40,83,83,29,45
79,18,69,32,53,59,25,90
97,30,86,11,49,50,33,40
94,84,14,63,16,75,33,78
18,89,51,20,13,52,65,99
85,91,54,73,15,13,37,89
42,18,48,14,85,72,2,86
36,59,46,45,54,70,40,95
11,77,59,14,73,91,2,70
80,71,98,90,46,1,32,80
49,66,67,76,96,92,71,68
38,74,83,12,60,45,5,65
49,76,88,37,56,16,96,70
28,55,31,29,16,65,24,36
16,21,98,45,12,5,41,7
37,70,37,21,19,62,31,61
39,39,10,27,53,49,79,17
84,93,37,79,8,77,25,84
3,6,73,11,97,97,48,37
57,47,20,73,22,84,81,1
75,18,70,99,30,70,51,78
46,33,50,87,14,53,96,5
76,11,59,76,35,43,61,24
85,87,92,40,23,91,17,73
88,50,85,28,74,11,24,97
14,24,11,54,44,6,84,67
79,58,69,35,8,87,40,92
4,17,31,82,30,15,10,51
28,28,10,8,70,34,67,59
80,96,76,41,74,6,10,18
34,13,83,33,7,21,86,18
63,38,86,34,94,97,42,42
8,29,47,60,10,66,54,59
68,33,68,23,83,93,66,68
74,97,34,60,88,34,64,18
55,85,81,24,30,41,78,18
38,6,71,9,7,7,43,92
46,11,61,27,70,31,20,62
48,22,58,46,57,93,3,97
52,9,50,59,20,48,3,82
34,29,87,28,19,39,14,3
83,52,38,6,95,25,93,85
60,64,57,23,65,89,31,78
46,92,96,27,81,54,84,37
16,96,42,83,56,15,51,47
78,45,85,23,96,56,59,18
68,72,47,98,91,58,42,83
29,7,94,13,63,92,34,11
94,92,55,32,64,65,66,73
58,77,83,23,60,14,35,46
93,91,87,80,6,94,44,2
27,82,8,18,38,9,25,75
54,99,71,44,31,63,73,27
71,95,22,47,66,72,4,75
31,94,48,90,88,83,63,83
77,70,53,63,94,86,12,27
7,10,22,97,88,29,42,78
72,43,37,39,9,52,1,53
47,33,81,20,55,32,34,25
85,33,16,36,15,80,73,85
92,92,64,96,43,10,43,46
81,29,29,24,14,20,60,73
46,94,9,86,21,22,22,39
33,68,38,63,35,87,25,3
39,2,39,69,25,54,59,31
6,29,22,49,55,55,47,1
17,59,44,90,92,93,8,25
20,15,72,8,44,21,54,64
36,1,76,45,82,64,28,9
34,84,61,5,99,21,62,73
4,36,29,59,93,83,48,98
5,56,86,35,43,3,88,45
24,59,93,82,82,71,87,14
51,37,60,6,9,33,5,92
27,91,58,36,74,26,66,35
70,13,55,97,93,86,52,77
71,75,53,68,2,21,64,94
89,50,76,28,75,11,15,98
57,60,63,10,46,92,49,94
12,73,62,71,96,48,39,59
93,31,51,43,69,56,36,36
45,20,68,33,52,91,57,10
95,36,9,22,42,57,58,71
69,92,73,65,83,62,64,48
21,20,85,3,8,8,52,84
62,17,33,87,87,5,47,45
64,75,60,9,64,43,24,89
64,65,67,99,47,24,76,51
94,26,50,32,61,16,6,53
84,46,7,28,43,1,63,20
7,76,65,63,53,95,85,14
55,6,87,53,91,4,75,9
70,5,27,36,37,62,48,92
11,74,42,26,58,75,17,90
63,8,75,26,3,12,84,55
72,50,65,31,29,56,34,14
13,27,23,40,48,52,89,62
1,47,14,79,26,23,12,73
9,84,79,87,91,5,74,65
54,5,96,33,98,42,54,10
48,65,66,56,78,65,99,42
42,21,87,35,57,5,71,40
66,16,7,44,83,33,65,24
54,60,78,33,63,57,87,43
85,52,29,79,7,36,78,71
36,17,11,61,41,31,8,1
38,64,67,18,64,40,5,71
70,4,20,97,75,1,60,71
38,58,78,73,75,14,59,25
86,35,45,36,79,13,42,11
28,91,50,98,90,25,80,62
27,3,77,96,58,46,89,8
57,21,26,9,91,2,14,81
66,13,91,40,63,65,91,34
67,32,95,59,48,64,57,43
53,94,61,11,26,83,65,51
76,80,89,54,87,99,36,98
78,38,32,11,42,28,40,1
57,61,75,7,26,8,39,99
97,31,45,91,91,55,72,12
42,93,17,50,44,74,35,11
8,28,30,31,34,19,49,40
31,76,64,94,31,71,80,16
9,91,1,44,78,21,38,15
83,76,5,39,69,15,99,54
81,81,39,14,1,58,32,73
57,91,77,94,63,69,89,28
38,64,44,37,94,65,34,24
68,32,36,6,54,60,52,91
5,3,40,16,97,73,21,71
7,49,43,72,36,47,74,79
66,69,37,83,60,37,94,46
71,55,13,98,82,6,46,15
58,42,52,87,3,76,6,16
78,98,93,1,66,59,33,83
8,29,74,59,66,94,48,57
65,81,3,88,73,82,41,92
85,88,90,70,39,90,94,64
61,53,44,88,91,33,78,12
20,89,11,67,79,11,23,16
20,80,13,18,93,93,98,3
94,27,4,40,12,20,83,43
61,12,73,8,73,31,45,91
33,65,30,56,9,48,14,18
74,15,3,15,8,99,2,7
38,82,59,3,39,10,91,15
86,94,88,92,28,32,31,50
12,80,29,62,29,81,14,38
28,79,35,98,37,45,16,37
46,53,72,99,71,95,2,81
33,73,72,72,35,61,27,89
1,86,90,9,1,42,57,34
17,12,62,62,80,48,94,30
75,32,31,96,3,51,20,86
66,79,2,17,33,77,17,65
77,29,56,7,46,99,35,89
14,70,21,31,63,93,21,93
63,71,53,87,96,53,70,10
26,45,56,73,61,21,30,79
78,19,18,9,6,18,30,74
75,46,17,10,8,11,18,79
77,63,7,18,85,66,20,7
10,58,93,81,60,24,73,87
80,3,4,65,22,16,85,61
49,40,73,33,1,94,10,29
51,46,65,64,14,62,84,26
23,21,92,46,48,89,66,52
23,18,15,91,71,62,57,86
75,72,77,58,29,92,44,62
84,99,51,85,18,24,42,32
94,67,97,46,13,77,33,35
8,62,15,64,86,6,63,84
79,84,45,62,46,83,19,85
24,14,63,83,25,13,62,72
92,18,35,51,4,60,27,98
58,90,12,48,86,25,5,87
35,52,73,23,8,54,4,84
85,34,79,98,30,69,56,51
84,24,12,5,19,45,69,10
54,66,1,53,92,52,73,70
86,87,10,50,32,84,34,68
39,68,66,58,97,96,28,93
32,67,44,20,73,57,31,71
15,10,95,96,18,62,89,47
69,29,36,13,56,78,96,63
11,94,16,77,50,55,31,75
97,65,43,6,23,88,31,9
86,4,20,28,56,4,41,59
85,76,19,82,69,67,32,7
71,37,68,54,78,95,33,66
97,76,70,93,97,92,72,75
8,25,97,66,16,96,60,82
76,26,8,32,83,28,61,43
31,94,19,58,98,79,85,55
76,85,54,49,93,58,75,25
3,81,96,19,10,53,91,24
59,36,17,24,17,27,20,3
59,82,14,27,60,15,14,94
7,38,63,47,69,81,13,92
58,65,51,43,90,54,67,60
56,53,18,59,18,4,2,77
38,55,79,75,83,9,7,41
61,15,72,52,82,65,25,98
95,5,87,20,57,29,77,91
83,73,92,15,3,8,92,51
61,70,48,79,39,14,75,41
60,51,36,91,52,9,25,81
56,35,31,42,44,57,12,34
90,97,82,85,86,75,5,73
97,95,45,17,72,6,3,2
58,46,97,4,24,76,37,6
41,31,97,63,31,5,1,99
54,82,80,79,69,67,8,37
22,42,48,37,47,68,71,20
39,71,89,92,47,3,18,21
92,35,26,39,45,18,68,67
81,46,54,60,96,2,72,99
81,21,14,66,8,71,36,71
32,72,84,40,24,78,81,42
91,43,26,45,76,4,64,11
69,26,9,6,89,6,17,8
43,26,67,14,20,77,17,86
33,21,39,15,40,41,77,46
94,91,91,58,12,99,13,52
29,22,27,75,19,4,66,50
93,23,27,39,28,50,81,61
87,2,12,87,21,60,48,57
52,60,32,32,65,33,35,49
4,20,5,13,36,38,17,25
72,6,94,29,47,59,96,41
25,60,57,92,86,26,3,75
39,48,88,57,57,71,54,81
3,9,72,37,18,90,82,21
53,32,32,91,70,60,6,42
88,39,96,9,19,41,36,86
79,75,86,99,92,11,75,99
52,35,38,10,99,37,39,67
11,52,55,58,7,30,34,22
93,53,20,45,7,67,8,45
95,97,91,25,17,26,56,88
16,80,4,19,33,90,90,6
40,68,1,84,71,61,56,74
54,93,31,9,90,18,3,77
56,46,79,93,44,65,91,44
1,44,19,27,92,37,69,44
84,4,61,50,34,18,50,55
91,60,12,3,40,19,33,54
48,42,25,50,53,60,60,24
13,88,61,97,68,92,83,44
55,7,60,87,92,51,56,14
45,9,69,39,61,68,6,92
44,50,64,95,20,25,67,91
32,74,86,64,47,30,65,9
93,88,8,36,76,56,79,25
63,52,63,98,94,97,6,79
